path	line	check	status	detail	header
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	36	external_row_has_source_locator	PASS	| `open` | EMA Medicines | `external-unverifiable` | https://www.ema.europa.eu/en/medicines | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	37	external_row_has_source_locator	PASS	| `open` | European Nucleotide Archive | `external-unverifiable` | https://www.ebi.ac.uk/ena/browser/ | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	38	external_row_has_source_locator	PASS	| `open` | Europe PMC | `external-unverifiable` | https://europepmc.org/ | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	39	external_row_has_source_locator	PASS	| `open` | FDA FDALabel | `external-unverifiable` | https://www.fda.gov/science-research/bioinformatics-tools/fdalabel-full-text-search-drug-product-labeling | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	40	external_row_has_source_locator	PASS	| `mixed` | Figshare | `external-unverifiable` | https://info.figshare.com/about/ | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	41	external_row_has_source_locator	PASS	| `open` | NCBI Gene Expression Omnibus | `external-unverifiable` | https://www.ncbi.nlm.nih.gov/geo/ | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	42	external_row_has_source_locator	PASS	| `open` | NHGRI-EBI GWAS Catalog | `external-unverifiable` | https://www.ebi.ac.uk/gwas/ | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	43	external_row_has_source_locator	PASS	| `mixed` | International Multiple Sclerosis Genetics Consortium | `external-unverifiable` | https://imsgc.net/publications/ | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	44	external_row_has_source_locator	PASS	| `open` | MS Society UK Types of MS | `external-unverifiable` | https://www.mssociety.org.uk/about-ms/types-of-ms | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	45	external_row_has_source_locator	PASS	| `application` | MSBase Registry | `external-unverifiable` | https://www.msbase.org/ | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	46	external_row_has_source_locator	PASS	| `registration` | MS Data Alliance Catalogue | `external-unverifiable` | https://msda.emif-catalogue.eu/ | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	47	external_row_has_source_locator	PASS	| `open` | MSGD / Multiple Sclerosis Gene Database | `external-unverifiable` | https://ngdc.cncb.ac.cn/databasecommons/database/id/9285 | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	48	external_row_has_source_locator	PASS	| `open` | MS International Federation Atlas of MS | `external-unverifiable` | https://atlasofms.org/ | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	49	external_row_has_source_locator	PASS	| `application` | NARCOMS Registry | `external-unverifiable` | https://www.narcoms.org/ | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	50	external_row_has_source_locator	PASS	| `open` | National Multiple Sclerosis Society Disease Modification | `external-unverifiable` | https://www.nationalmssociety.org/for-professionals/for-healthcare-professionals/managing-and-treating-ms/disease-modification | `NOT_PROJECT_GR	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	51	external_row_has_source_locator	PASS	| `open` | National Multiple Sclerosis Society Types of MS | `external-unverifiable` | https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	52	external_row_has_source_locator	PASS	| `open` | NHS England MS DMT treatment algorithm | `external-unverifiable` | https://www.england.nhs.uk/wp-content/uploads/2024/03/treatment-algorithm-for-multiple-sclerosis-disease-modifying-therapies-july-23.pdf | `NOT_PROJECT_GROUNDED` 	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	53	external_row_has_source_locator	PASS	| `open` | NICE NG220 Multiple sclerosis in adults: management | `external-unverifiable` | https://www.nice.org.uk/guidance/ng220 | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	54	external_row_has_source_locator	PASS	| `open` | NINDS Multiple Sclerosis Common Data Elements | `external-unverifiable` | https://www.commondataelements.ninds.nih.gov/Multiple%20Sclerosis | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	55	external_row_has_source_locator	PASS	| `open` | Open Targets Platform | `external-unverifiable` | https://platform-docs.opentargets.org/ | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	56	external_row_has_source_locator	PASS	| `mixed` | Open Science Framework | `external-unverifiable` | https://www.cos.io/products/osf | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	57	external_row_has_source_locator	PASS	| `open` | PubMed | `external-unverifiable` | https://pubmed.ncbi.nlm.nih.gov/ | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	58	external_row_has_source_locator	PASS	| `open` | NCBI Sequence Read Archive | `external-unverifiable` | https://www.ncbi.nlm.nih.gov/sra | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_ACCESS_TIER_ROLLUP.md	59	external_row_has_source_locator	PASS	| `open` | Zenodo | `external-unverifiable` | https://about.zenodo.org/ | `NOT_PROJECT_GROUNDED` |	| access tier | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	39	external_row_has_source_locator	PASS	| Functional genomics archives | ArrayExpress in BioStudies | `external-unverifiable` | https://www.ebi.ac.uk/arrayexpress/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	40	external_row_has_source_locator	PASS	| Functional genomics archives | BioStudies | `external-unverifiable` | https://www.ebi.ac.uk/about/teams/biostudies/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	41	external_row_has_source_locator	PASS	| Clinical trials registry | ClinicalTrials.gov | `external-unverifiable` | https://clinicaltrials.gov/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	42	external_row_has_source_locator	PASS	| DMT regulatory and drug reference | DailyMed | `external-unverifiable` | https://dailymed.nlm.nih.gov/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	43	external_row_has_source_locator	PASS	| Genetics and target knowledge | DISGENET | `external-unverifiable` | https://disgenet.com/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	44	external_row_has_source_locator	PASS	| General research repositories | Dryad | `external-unverifiable` | https://datadryad.org/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	45	external_row_has_source_locator	PASS	| Genetics and target knowledge | European Genome-phenome Archive | `external-unverifiable` | https://ega-archive.org/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	46	external_row_has_source_locator	PASS	| DMT regulatory and drug reference | EMA Medicines | `external-unverifiable` | https://www.ema.europa.eu/en/medicines | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	47	external_row_has_source_locator	PASS	| Sequence archives | European Nucleotide Archive | `external-unverifiable` | https://www.ebi.ac.uk/ena/browser/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	48	external_row_has_source_locator	PASS	| Literature and publication mining | Europe PMC | `external-unverifiable` | https://europepmc.org/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	49	external_row_has_source_locator	PASS	| DMT regulatory and drug reference | FDA FDALabel | `external-unverifiable` | https://www.fda.gov/science-research/bioinformatics-tools/fdalabel-full-text-search-drug-product-labeling | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	50	external_row_has_source_locator	PASS	| General research repositories | Figshare | `external-unverifiable` | https://info.figshare.com/about/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	51	external_row_has_source_locator	PASS	| Functional genomics archives | NCBI Gene Expression Omnibus | `external-unverifiable` | https://www.ncbi.nlm.nih.gov/geo/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	52	external_row_has_source_locator	PASS	| Genetics and target knowledge | NHGRI-EBI GWAS Catalog | `external-unverifiable` | https://www.ebi.ac.uk/gwas/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	53	external_row_has_source_locator	PASS	| Genetics and target knowledge | International Multiple Sclerosis Genetics Consortium | `external-unverifiable` | https://imsgc.net/publications/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	54	external_row_has_source_locator	PASS	| Clinical reference and guidelines | MS Society UK Types of MS | `external-unverifiable` | https://www.mssociety.org.uk/about-ms/types-of-ms | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	55	external_row_has_source_locator	PASS	| MS registry or cohort catalog | MSBase Registry | `external-unverifiable` | https://www.msbase.org/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	56	external_row_has_source_locator	PASS	| MS registry or cohort catalog | MS Data Alliance Catalogue | `external-unverifiable` | https://msda.emif-catalogue.eu/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	57	external_row_has_source_locator	PASS	| Genetics and target knowledge | MSGD / Multiple Sclerosis Gene Database | `external-unverifiable` | https://ngdc.cncb.ac.cn/databasecommons/database/id/9285 | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	58	external_row_has_source_locator	PASS	| Epidemiology and global resources | MS International Federation Atlas of MS | `external-unverifiable` | https://atlasofms.org/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	59	external_row_has_source_locator	PASS	| MS registry or cohort catalog | NARCOMS Registry | `external-unverifiable` | https://www.narcoms.org/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	60	external_row_has_source_locator	PASS	| DMT regulatory and drug reference | National Multiple Sclerosis Society Disease Modification | `external-unverifiable` | https://www.nationalmssociety.org/for-professionals/for-healthcare-professionals/managing-and-treating-ms/disease-mod	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	61	external_row_has_source_locator	PASS	| Clinical reference and guidelines | National Multiple Sclerosis Society Types of MS | `external-unverifiable` | https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	62	external_row_has_source_locator	PASS	| DMT regulatory and drug reference | NHS England MS DMT treatment algorithm | `external-unverifiable` | https://www.england.nhs.uk/wp-content/uploads/2024/03/treatment-algorithm-for-multiple-sclerosis-disease-modifying-therapies-july-23.pd	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	63	external_row_has_source_locator	PASS	| Clinical reference and guidelines | NICE NG220 Multiple sclerosis in adults: management | `external-unverifiable` | https://www.nice.org.uk/guidance/ng220 | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	64	external_row_has_source_locator	PASS	| Clinical reference and guidelines | NINDS Multiple Sclerosis Common Data Elements | `external-unverifiable` | https://www.commondataelements.ninds.nih.gov/Multiple%20Sclerosis | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	65	external_row_has_source_locator	PASS	| Genetics and target knowledge | Open Targets Platform | `external-unverifiable` | https://platform-docs.opentargets.org/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	66	external_row_has_source_locator	PASS	| General research repositories | Open Science Framework | `external-unverifiable` | https://www.cos.io/products/osf | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	67	external_row_has_source_locator	PASS	| Literature and publication mining | PubMed | `external-unverifiable` | https://pubmed.ncbi.nlm.nih.gov/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	68	external_row_has_source_locator	PASS	| Sequence archives | NCBI Sequence Read Archive | `external-unverifiable` | https://www.ncbi.nlm.nih.gov/sra | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_CATEGORY_ROLLUP.md	69	external_row_has_source_locator	PASS	| General research repositories | Zenodo | `external-unverifiable` | https://about.zenodo.org/ | `NOT_PROJECT_GROUNDED` |	| category | resource | class | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	46	external_row_has_source_locator	PASS	| `ebi.ac.uk` | ArrayExpress in BioStudies | `external-unverifiable` | `orthogonal` | https://www.ebi.ac.uk/arrayexpress/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	47	external_row_has_source_locator	PASS	| `ebi.ac.uk` | BioStudies | `external-unverifiable` | `orthogonal` | https://www.ebi.ac.uk/about/teams/biostudies/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	48	external_row_has_source_locator	PASS	| `clinicaltrials.gov` | ClinicalTrials.gov | `external-unverifiable` | `orthogonal` | https://clinicaltrials.gov/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	49	external_row_has_source_locator	PASS	| `dailymed.nlm.nih.gov` | DailyMed | `external-unverifiable` | `orthogonal` | https://dailymed.nlm.nih.gov/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	50	external_row_has_source_locator	PASS	| `disgenet.com` | DISGENET | `external-unverifiable` | `orthogonal` | https://disgenet.com/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	51	external_row_has_source_locator	PASS	| `datadryad.org` | Dryad | `external-unverifiable` | `orthogonal` | https://datadryad.org/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	52	external_row_has_source_locator	PASS	| `ega-archive.org` | European Genome-phenome Archive | `external-unverifiable` | `orthogonal` | https://ega-archive.org/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	53	external_row_has_source_locator	PASS	| `ema.europa.eu` | EMA Medicines | `external-unverifiable` | `orthogonal` | https://www.ema.europa.eu/en/medicines | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	54	external_row_has_source_locator	PASS	| `ebi.ac.uk` | European Nucleotide Archive | `external-unverifiable` | `orthogonal` | https://www.ebi.ac.uk/ena/browser/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	55	external_row_has_source_locator	PASS	| `europepmc.org` | Europe PMC | `external-unverifiable` | `orthogonal` | https://europepmc.org/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	56	external_row_has_source_locator	PASS	| `fda.gov` | FDA FDALabel | `external-unverifiable` | `orthogonal` | https://www.fda.gov/science-research/bioinformatics-tools/fdalabel-full-text-search-drug-product-labeling | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	57	external_row_has_source_locator	PASS	| `info.figshare.com` | Figshare | `external-unverifiable` | `orthogonal` | https://info.figshare.com/about/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	58	external_row_has_source_locator	PASS	| `ncbi.nlm.nih.gov` | NCBI Gene Expression Omnibus | `external-unverifiable` | `orthogonal` | https://www.ncbi.nlm.nih.gov/geo/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	59	external_row_has_source_locator	PASS	| `ebi.ac.uk` | NHGRI-EBI GWAS Catalog | `external-unverifiable` | `orthogonal` | https://www.ebi.ac.uk/gwas/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	60	external_row_has_source_locator	PASS	| `imsgc.net` | International Multiple Sclerosis Genetics Consortium | `external-unverifiable` | `orthogonal` | https://imsgc.net/publications/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	61	external_row_has_source_locator	PASS	| `mssociety.org.uk` | MS Society UK Types of MS | `external-unverifiable` | `orthogonal` | https://www.mssociety.org.uk/about-ms/types-of-ms | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	62	external_row_has_source_locator	PASS	| `msbase.org` | MSBase Registry | `external-unverifiable` | `orthogonal` | https://www.msbase.org/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	63	external_row_has_source_locator	PASS	| `msda.emif-catalogue.eu` | MS Data Alliance Catalogue | `external-unverifiable` | `orthogonal` | https://msda.emif-catalogue.eu/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	64	external_row_has_source_locator	PASS	| `ngdc.cncb.ac.cn` | MSGD / Multiple Sclerosis Gene Database | `external-unverifiable` | `orthogonal` | https://ngdc.cncb.ac.cn/databasecommons/database/id/9285 | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	65	external_row_has_source_locator	PASS	| `atlasofms.org` | MS International Federation Atlas of MS | `external-unverifiable` | `orthogonal` | https://atlasofms.org/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	66	external_row_has_source_locator	PASS	| `narcoms.org` | NARCOMS Registry | `external-unverifiable` | `orthogonal` | https://www.narcoms.org/ | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	67	external_row_has_source_locator	PASS	| `nationalmssociety.org` | National Multiple Sclerosis Society Disease Modification | `external-unverifiable` | `orthogonal` | https://www.nationalmssociety.org/for-professionals/for-healthcare-professionals/managing-and-treating-ms/diseas	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	68	external_row_has_source_locator	PASS	| `nationalmssociety.org` | National Multiple Sclerosis Society Types of MS | `external-unverifiable` | `orthogonal` | https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	69	external_row_has_source_locator	PASS	| `england.nhs.uk` | NHS England MS DMT treatment algorithm | `external-unverifiable` | `orthogonal` | https://www.england.nhs.uk/wp-content/uploads/2024/03/treatment-algorithm-for-multiple-sclerosis-disease-modifying-therapies-july-23.pdf 	| source domain | record | class | relationship | source | marker |
knowledge_external/catalogs/indexes/EXTERNAL_SOURCE_DOMAIN_ROLLUP.md	70	external_row_has_source_locator	PASS	| `nice.org.uk` | NICE NG220 Multiple sclerosis in adults: management | `external-unverifiable` | `orthogonal` | https://www.nice.org.uk/guidance/ng220 | `NOT_PROJECT_GROUNDED` |	| source domain | record | class | relationship | source | marker |
